Nome da Liga,Link SofaScore,SofaScore ID,País,Fonte
Europe - Uefa Champions League,https://www.sofascore.com/pt/football/tournament/europe/uefa-champions-league/7,7,Europe,SofaScore (original)
Spain - Laliga,https://www.sofascore.com/pt/football/tournament/spain/laliga/8,8,Spain,SofaScore (original)
Belgium - Challenger Pro League,https://www.sofascore.com/pt/football/tournament/belgium/challenger-pro-league/9,9,Belgium,SofaScore (original)
England - Premier League,https://www.sofascore.com/pt/football/tournament/england/premier-league/17,17,England,SofaScore (original)
England - Championship,https://www.sofascore.com/pt/football/tournament/england/championship/18,18,England,SofaScore (original)
Norway - Eliteserien,https://www.sofascore.com/pt/football/tournament/norway/eliteserien/20,20,Norway,SofaScore (original)
Norway - 1St Division,https://www.sofascore.com/pt/football/tournament/norway/1st-division/22,22,Norway,SofaScore (original)
Italy - Serie A,https://www.sofascore.com/pt/football/tournament/italy/serie-a/23,23,Italy,SofaScore (original)
England - League One,https://www.sofascore.com/pt/football/tournament/england/league-one/24,24,England,SofaScore (original)
England - League Two,https://www.sofascore.com/pt/football/tournament/england/league-two/25,25,England,SofaScore (original)
France - Ligue 1,https://www.sofascore.com/pt/football/tournament/france/ligue-1/34,34,France,SofaScore (original)
Germany - Bundesliga,https://www.sofascore.com/pt/football/tournament/germany/bundesliga/35,35,Germany,SofaScore (original)
Scotland - Premiership,https://www.sofascore.com/pt/football/tournament/scotland/premiership/36,36,Scotland,SofaScore (original)
Netherlands - Eredivisie,https://www.sofascore.com/pt/football/tournament/netherlands/eredivisie/37,37,Netherlands,SofaScore (original)
Belgium - Pro League,https://www.sofascore.com/pt/football/tournament/belgium/pro-league/38,38,Belgium,SofaScore (original)
Denmark - Superliga,https://www.sofascore.com/pt/football/tournament/denmark/superliga/39,39,Denmark,SofaScore (original)
Sweden - Allsvenskan,https://www.sofascore.com/pt/football/tournament/sweden/allsvenskan/40,40,Sweden,SofaScore (original)
Finland - Veikkausliiga,https://www.sofascore.com/pt/football/tournament/finland/veikkausliiga/41,41,Finland,SofaScore (original)
Germany - 2 Bundesliga,https://www.sofascore.com/pt/football/tournament/germany/2-bundesliga/44,44,Germany,SofaScore (original)
Italy - Serie B,https://www.sofascore.com/pt/football/tournament/italy/serie-b/53,53,Italy,SofaScore (original)
Spain - Laliga 2,https://www.sofascore.com/pt/football/tournament/spain/laliga-2/54,54,Spain,SofaScore (original)
South America - Copa America,https://www.sofascore.com/pt/football/tournament/south-america/copa-america/133,133,South America,SofaScore (original)
Argentina - Liga Profesional De Futbol,https://www.sofascore.com/pt/football/tournament/argentina/liga-profesional-de-futbol/155,155,Argentina,SofaScore (original)
Croatia - Hnl,https://www.sofascore.com/pt/football/tournament/croatia/hnl/170,170,Croatia,SofaScore (original)
England - National League,https://www.sofascore.com/pt/football/tournament/england/national-league/173,173,England,SofaScore (original)
Estonia - Premium Liiga,https://www.sofascore.com/pt/football/tournament/estonia/premium-liiga/178,178,Estonia,SofaScore (original)
France - Ligue 2,https://www.sofascore.com/pt/football/tournament/france/ligue-2/182,182,France,SofaScore (original)
Ireland - Premier Division,https://www.sofascore.com/pt/football/tournament/ireland/premier-division/192,192,Ireland,SofaScore (original)
Japan - J1 League,https://www.sofascore.com/pt/football/tournament/japan/j1-league/196,196,Japan,SofaScore (original)
Switzerland - Super League,https://www.sofascore.com/pt/football/tournament/switzerland/super-league/215,215,Switzerland,SofaScore (original)
Portugal - Liga Portugal Betclic,https://www.sofascore.com/pt/football/tournament/portugal/liga-portugal-betclic/238,238,Portugal,SofaScore (original)
Portugal - Liga Portugal 2,https://www.sofascore.com/pt/football/tournament/portugal/liga-portugal-2/239,239,Portugal,SofaScore (original)
Ecuador - Ligapro Serie A,https://www.sofascore.com/pt/football/tournament/ecuador/ligapro-serie-a/240,240,Ecuador,SofaScore (original)
Usa - Mls,https://www.sofascore.com/pt/football/tournament/usa/mls/242,242,Usa,SofaScore (original)
Uruguay - Primera Division,https://www.sofascore.com/pt/football/tournament/uruguay/primera-division/278,278,Uruguay,SofaScore (original)
Brazil - Brasileirao Serie A,https://www.sofascore.com/pt/football/tournament/brazil/brasileirao-serie-a/325,325,Brazil,SofaScore (original)
Brazil - Copa Do Brasil,https://www.sofascore.com/pt/football/tournament/brazil/copa-do-brasil/373,373,Brazil,SofaScore (original)
South America - Conmebol Libertadores,https://www.sofascore.com/pt/football/tournament/south-america/conmebol-libertadores/384,384,South America,SofaScore (original)
Brazil - Brasileirao Serie B,https://www.sofascore.com/pt/football/tournament/brazil/brasileirao-serie-b/390,390,Brazil,SofaScore (original)
Peru - Liga 1,https://www.sofascore.com/pt/football/tournament/peru/liga-1/406,406,Peru,SofaScore (original)
South Korea - K League 1,https://www.sofascore.com/pt/football/tournament/south-korea/k-league-1/410,410,South Korea,SofaScore (original)
Asia - Afc Champions League,https://www.sofascore.com/pt/football/tournament/asia/afc-champions-league/463,463,Asia,SofaScore (original)
South America - Conmebol Sudamericana,https://www.sofascore.com/pt/football/tournament/south-america/conmebol-sudamericana/480,480,South America,SofaScore (original)
Germany - 3 Liga,https://www.sofascore.com/pt/football/tournament/germany/3-liga/491,491,Germany,SofaScore (original)
China - Cfa Super League,https://www.sofascore.com/pt/football/tournament/china/cfa-super-league/649,649,China,SofaScore (original)
Europe - Uefa Europa League,https://www.sofascore.com/pt/football/tournament/europe/uefa-europa-league/679,679,Europe,SofaScore (original)
China - Cfa China League,https://www.sofascore.com/pt/football/tournament/china/cfa-china-league/782,782,China,SofaScore (original)
Egypt - Premier League,https://www.sofascore.com/pt/football/tournament/egypt/premier-league/808,808,Egypt,SofaScore (original)
Saudi Arabia - Saudi Pro League,https://www.sofascore.com/pt/football/tournament/saudi-arabia/saudi-pro-league/955,955,Saudi Arabia,SofaScore (original)
Brazil - Brasileirao Serie C,https://www.sofascore.com/pt/football/tournament/brazil/brasileirao-serie-c/1281,1281,Brazil,SofaScore (original)
Colombia - Primera A Apertura,https://www.sofascore.com/pt/football/tournament/colombia/primera-a-apertura/11539,11539,Colombia,SofaScore (original)
Paraguay - Primera Division Apertura,https://www.sofascore.com/pt/football/tournament/paraguay/primera-division-apertura/11540,11540,Paraguay,SofaScore (original)
Paraguay - Primera Division Clausura,https://www.sofascore.com/pt/football/tournament/paraguay/primera-division-clausura/11541,11541,Paraguay,SofaScore (original)
Mexico - Liga Mx Apertura,https://www.sofascore.com/pt/football/tournament/mexico/liga-mx-apertura/11621,11621,Mexico,SofaScore (original)
Chile - Primera Division,https://www.sofascore.com/pt/football/tournament/chile/primera-division/11653,11653,Chile,SofaScore (original)
Argentina - Copa De La Liga Profesional,https://www.sofascore.com/pt/football/tournament/argentina/copa-de-la-liga-profesional/13475,13475,Argentina,SofaScore (original)
France - National 2,https://www.sofascore.com/pt/football/tournament/france/national-2/28153,28153,France,SofaScore (original)
Africa - Africa Cup Of Nations,https://www.sofascore.com/pt/football/tournament/africa/africa-cup-of-nations/???,?,Africa,football-data.org (id=2176)
Argentina - Primera B Nacional,https://www.sofascore.com/pt/football/tournament/argentina/primera-b-nacional/???,?,Argentina,football-data.org (id=2023)
Argentina - Copa Argentina,https://www.sofascore.com/pt/football/tournament/argentina/copa-argentina/???,?,Argentina,football-data.org (id=2192)
Argentina - Supercopa Argentina,https://www.sofascore.com/pt/football/tournament/argentina/supercopa-argentina/???,?,Argentina,football-data.org (id=2025)
Australia - A League,https://www.sofascore.com/pt/football/tournament/australia/a-league/???,?,Australia,football-data.org (id=2008)
Australia - Australian Cup,https://www.sofascore.com/pt/football/tournament/australia/australian-cup/???,?,Australia,football-data.org (id=2026)
Austria - Liga Zwa,https://www.sofascore.com/pt/football/tournament/austria/liga-zwa/???,?,Austria,football-data.org (id=2020)
Austria - Bundesliga,https://www.sofascore.com/pt/football/tournament/austria/bundesliga/???,?,Austria,football-data.org (id=2012)
Austria - ÖFB Cup,https://www.sofascore.com/pt/football/tournament/austria/öfb-cup/???,?,Austria,football-data.org (id=2027)
Belgium - Coupe de Belgique,https://www.sofascore.com/pt/football/tournament/belgium/coupe-de-belgique/???,?,Belgium,football-data.org (id=2028)
Belgium - Supercoupe de Belgique,https://www.sofascore.com/pt/football/tournament/belgium/supercoupe-de-belgique/???,?,Belgium,football-data.org (id=2010)
Bolivia - LFPB,https://www.sofascore.com/pt/football/tournament/bolivia/lfpb/???,?,Bolivia,football-data.org (id=2034)
Bosnia and Herzegovina - Premier Liga,https://www.sofascore.com/pt/football/tournament/bosnia-and-herzegovina/premier-liga/???,?,Bosnia and Herzegovina,football-data.org (id=2035)
Brazil - Série D,https://www.sofascore.com/pt/football/tournament/brazil/série-d/???,?,Brazil,football-data.org (id=2038)
Bulgaria - A PFG,https://www.sofascore.com/pt/football/tournament/bulgaria/a-pfg/???,?,Bulgaria,football-data.org (id=2040)
Canada - Canadian Championship,https://www.sofascore.com/pt/football/tournament/canada/canadian-championship/???,?,Canada,football-data.org (id=2041)
Chile - Supercopa de Chile,https://www.sofascore.com/pt/football/tournament/chile/supercopa-de-chile/???,?,Chile,football-data.org (id=2043)
Colombia - Superliga de Colombia,https://www.sofascore.com/pt/football/tournament/colombia/superliga-de-colombia/???,?,Colombia,football-data.org (id=2046)
Czech Republic - Synot Liga,https://www.sofascore.com/pt/football/tournament/czech-republic/synot-liga/???,?,Czech Republic,football-data.org (id=2049)
Denmark - DBU Pokalen,https://www.sofascore.com/pt/football/tournament/denmark/dbu-pokalen/???,?,Denmark,football-data.org (id=2051)
England - Football League Cup,https://www.sofascore.com/pt/football/tournament/england/football-league-cup/???,?,England,football-data.org (id=2139)
England - FA Community Shield,https://www.sofascore.com/pt/football/tournament/england/fa-community-shield/???,?,England,football-data.org (id=2056)
England - FA Cup,https://www.sofascore.com/pt/football/tournament/england/fa-cup/???,?,England,football-data.org (id=2055)
Europe - UEFA Nations League,https://www.sofascore.com/pt/football/tournament/europe/uefa-nations-league/???,?,Europe,football-data.org (id=2182)
Europe - UEFA Conference League,https://www.sofascore.com/pt/football/tournament/europe/uefa-conference-league/???,?,Europe,football-data.org (id=2154)
Europe - European Championship,https://www.sofascore.com/pt/football/tournament/europe/european-championship/???,?,Europe,football-data.org (id=2018)
Finland - Suomen Cup,https://www.sofascore.com/pt/football/tournament/finland/suomen-cup/???,?,Finland,football-data.org (id=2059)
France - Coupe de la Ligue,https://www.sofascore.com/pt/football/tournament/france/coupe-de-la-ligue/???,?,France,football-data.org (id=2135)
France - Coupe de France,https://www.sofascore.com/pt/football/tournament/france/coupe-de-france/???,?,France,football-data.org (id=2138)
Germany - DFB-Pokal,https://www.sofascore.com/pt/football/tournament/germany/dfb-pokal/???,?,Germany,football-data.org (id=2011)
Germany - Regionalliga,https://www.sofascore.com/pt/football/tournament/germany/regionalliga/???,?,Germany,football-data.org (id=2129)
Germany - Regionalliga Nord,https://www.sofascore.com/pt/football/tournament/germany/regionalliga-nord/???,?,Germany,football-data.org (id=2172)
Germany - DFL Super Cup,https://www.sofascore.com/pt/football/tournament/germany/dfl-super-cup/???,?,Germany,football-data.org (id=2134)
